MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Alley,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PoolQC,Fence,MiscFeature,YrSoldFac,SalePrice
30,RM,50,5925,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,2000,Hip,CompShg,Stucco,Stucco,BrkCmn,435,TA,TA,BrkTil,168,0,739,907,GasA,TA,Y,SBrkr,1131,0,0,1131,0,0,1,0,2,1,TA,7,Typ,0,1995,2,672,Y,0,72,0,0,0,0,0,3,2007,WD,Alloca,None,Fa,TA,No,Rec,Unf,None,Detchd,Unf,TA,TA,None,MnPrv,None,2007,89471
20,RL,98,16033,Pave,IR1,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,378,Gd,TA,PConc,1261,0,572,1833,GasA,Ex,Y,SBrkr,1850,0,0,1850,1,0,2,0,3,1,Gd,8,Typ,1,2004,3,772,Y,519,112,0,0,0,0,0,3,2006,WD,Normal,None,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,Fin,TA,TA,None,None,None,2006,326000
20,RL,72,11846,Pave,IR1,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,562,Gd,TA,PConc,1567,0,225,1792,GasA,Ex,Y,SBrkr,1792,0,0,1792,1,0,2,0,2,1,Ex,6,Typ,1,2003,3,874,Y,206,49,0,0,0,0,0,8,2006,WD,Normal,None,Ex,TA,Gd,GLQ,Unf,Gd,Attchd,Fin,TA,TA,None,None,None,2006,374000
70,RM,50,2500,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,None,0,Gd,TA,PConc,299,0,611,910,GasA,Ex,Y,SBrkr,916,910,0,1826,1,0,1,1,4,1,Ex,7,Min2,1,1915,1,164,Y,0,0,0,0,0,0,0,6,2009,WD,Normal,Pave,TA,TA,No,ALQ,Unf,Gd,Attchd,Unf,Fa,Fa,None,None,None,2009,155000
120,RM,32,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,116,TA,TA,PConc,897,0,319,1216,GasA,Ex,Y,SBrkr,1216,0,0,1216,1,0,2,0,2,1,TA,5,Typ,0,1998,2,402,Y,0,125,0,0,0,0,0,5,2006,WD,Normal,None,Ex,TA,No,GLQ,Unf,None,Attchd,Unf,TA,TA,None,None,None,2006,164000
20,RL,79,7758,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1962,2001,Gable,CompShg,HdBoard,Plywood,None,0,TA,Gd,CBlock,588,0,411,999,GasA,Gd,Y,SBrkr,999,0,0,999,1,0,1,0,3,1,Gd,6,Typ,0,1963,1,264,Y,0,132,0,0,0,0,0,3,2007,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Detchd,Unf,TA,TA,None,None,None,2007,132500
20,RL,80,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,2007,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,CBlock,607,0,506,1113,GasA,Gd,Y,SBrkr,1113,0,0,1113,0,0,1,0,3,1,Gd,5,Typ,1,1950,1,264,Y,0,80,120,0,0,0,0,7,2009,WD,Normal,None,TA,TA,No,ALQ,Unf,Gd,Attchd,Unf,TA,TA,None,None,None,2009,147000
20,RL,79,10289,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1965,1965,Hip,CompShg,MetalSd,MetalSd,BrkFace,168,TA,TA,CBlock,836,0,237,1073,GasA,TA,Y,SBrkr,1073,0,0,1073,1,0,1,1,3,1,TA,6,Typ,0,1965,2,515,Y,0,0,0,0,0,0,0,6,2007,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Attchd,RFn,TA,TA,None,None,None,2007,156000
20,RL,70,12243,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1971,1971,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,998,0,486,1484,GasA,Gd,Y,SBrkr,1484,0,0,1484,0,0,2,0,3,1,TA,7,Typ,1,1971,2,487,Y,224,0,0,0,180,0,0,2,2007,WD,Normal,None,Gd,TA,Av,ALQ,Unf,TA,Attchd,Unf,TA,TA,None,None,None,2007,175000
190,RL,60,10800,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1900,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,CBlock,664,0,290,954,GasA,TA,N,FuseA,1766,648,0,2414,0,0,2,0,3,2,TA,10,Mod,1,1970,2,520,N,142,0,0,0,0,0,0,5,2006,ConLD,Normal,None,TA,Fa,No,BLQ,Unf,Gd,Attchd,Unf,TA,Fa,None,None,None,2006,160000
180,RM,21,1526,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,8,1970,2002,Gable,CompShg,CemntBd,CmentBd,None,0,TA,Gd,CBlock,515,0,115,630,GasA,TA,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,Gd,3,Typ,0,1970,1,286,Y,0,0,0,0,0,0,0,5,2009,WD,Normal,None,Gd,TA,Av,GLQ,Unf,None,Attchd,Unf,TA,TA,None,None,None,2009,86000
160,RM,34,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,0,0,264,264,GasA,TA,Y,SBrkr,616,688,0,1304,0,0,1,1,3,1,TA,4,Typ,1,1976,1,336,Y,141,24,0,0,0,0,0,6,2008,WD,Normal,None,Gd,TA,Mn,Unf,Unf,Gd,BuiltIn,Fin,TA,TA,None,None,None,2008,115000
50,RL,79,9490,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,7,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,403,165,238,806,GasA,TA,Y,FuseA,958,620,0,1578,1,0,1,0,3,1,Fa,5,Typ,2,1941,1,240,Y,0,0,32,0,0,0,0,8,2006,WD,Normal,None,TA,TA,No,BLQ,Rec,TA,Attchd,Unf,TA,TA,None,MnPrv,None,2006,133000
60,RL,105,15578,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,0,0,728,728,GasA,Gd,Y,SBrkr,728,728,0,1456,0,0,2,1,3,1,TA,8,Typ,0,2006,2,429,Y,0,0,0,0,0,0,0,5,2006,New,Partial,None,Gd,TA,No,Unf,Unf,None,Attchd,RFn,TA,TA,None,None,None,2006,172785
20,RL,70,7931,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,374,532,363,1269,GasA,TA,Y,FuseA,1269,0,0,1269,0,0,1,1,3,1,TA,6,Typ,1,1964,1,308,Y,0,0,0,0,0,0,0,6,2008,WD,Normal,None,TA,TA,No,BLQ,LwQ,Fa,Detchd,Unf,TA,TA,None,None,None,2008,155000
30,RM,50,5784,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,0,0,190,190,GasA,Gd,Y,FuseA,886,0,0,886,0,0,1,0,2,1,TA,4,Typ,0,1938,1,273,Y,144,20,80,0,0,0,0,12,2009,WD,Normal,None,Fa,TA,No,Unf,Unf,None,Attchd,Unf,TA,TA,None,None,None,2009,91300
30,C (all),60,7879,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,495,0,225,720,GasA,TA,N,FuseA,720,0,0,720,0,0,1,0,2,1,TA,4,Typ,0,0,0,0,N,0,523,115,0,0,0,0,11,2009,WD,Abnorml,None,TA,TA,No,Rec,Unf,None,None,None,None,None,None,GdWo,None,2009,34900
20,RL,65,12692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1992,1993,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,PConc,1231,0,1969,3200,GasA,Ex,Y,SBrkr,3228,0,0,3228,1,0,3,0,4,1,Gd,10,Typ,1,1992,2,546,Y,264,75,291,0,0,0,0,5,2007,WD,Normal,None,Gd,TA,No,GLQ,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2007,430000
50,RL,60,9120,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,6,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,PConc,329,0,697,1026,GasA,Ex,Y,SBrkr,1133,687,0,1820,1,0,2,0,4,1,TA,8,Typ,0,1925,1,240,N,0,100,0,0,0,0,0,6,2008,WD,Normal,Pave,TA,TA,No,Rec,Unf,None,Detchd,Unf,TA,TA,None,GdPrv,None,2008,184000
20,RL,65,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89,TA,TA,PConc,450,0,414,864,GasA,Ex,Y,SBrkr,899,0,0,899,0,0,1,0,3,1,Gd,5,Typ,0,1967,1,288,Y,64,0,0,0,0,0,0,6,2009,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Attchd,Fin,TA,TA,None,MnPrv,None,2009,130000
20,RL,70,7535,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1985,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,111,279,522,912,GasA,Fa,Y,SBrkr,912,0,0,912,0,1,1,0,2,1,TA,5,Typ,0,1958,1,297,Y,12,285,0,0,0,0,480,6,2007,WD,Normal,None,TA,TA,No,BLQ,LwQ,None,Attchd,Fin,TA,TA,None,MnWw,Shed,2007,120000
160,RM,21,1890,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,285,TA,TA,CBlock,356,0,316,672,GasA,TA,Y,SBrkr,672,546,0,1218,0,0,1,1,3,1,TA,7,Typ,0,1973,1,264,Y,144,28,0,0,0,0,0,5,2007,WD,Normal,None,TA,TA,No,BLQ,Unf,None,Detchd,Unf,TA,TA,None,None,None,2007,113000
60,FV,75,9803,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,400,0,466,866,GasA,Gd,Y,SBrkr,866,902,0,1768,0,0,2,1,3,1,Gd,7,Typ,0,2005,2,603,Y,0,108,0,0,0,0,0,2,2008,WD,Normal,None,Gd,TA,No,GLQ,Unf,None,Attchd,RFn,TA,TA,None,None,None,2008,226700
20,RL,70,9170,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,1Story,5,7,1965,1965,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,698,96,420,1214,GasA,Ex,Y,SBrkr,1214,0,0,1214,1,0,1,0,2,1,TA,6,Typ,0,1965,2,461,Y,0,0,184,0,0,0,400,4,2007,WD,Normal,None,TA,TA,No,ALQ,GLQ,None,Detchd,Unf,Fa,Fa,None,GdPrv,Shed,2007,140000
20,RL,100,15602,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,8,1959,1997,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,1247,0,254,1501,GasA,TA,Y,SBrkr,1801,0,0,1801,1,0,2,0,1,1,TA,6,Typ,2,1959,2,484,Y,0,54,0,0,161,0,0,3,2010,WD,Normal,None,TA,TA,No,ALQ,Unf,TA,Attchd,Fin,TA,TA,None,GdWo,None,2010,289000
160,RL,24,2308,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1974,1974,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,257,495,103,855,GasA,TA,Y,SBrkr,855,467,0,1322,0,1,2,1,3,1,TA,6,Typ,1,1974,2,440,Y,260,0,0,0,0,0,0,6,2009,WD,Normal,None,TA,TA,No,ALQ,Rec,Fa,Attchd,Unf,TA,TA,None,None,None,2009,147000
90,RM,60,7596,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,360,TA,TA,CBlock,0,0,960,960,GasA,Gd,Y,SBrkr,960,1000,0,1960,0,0,2,0,4,2,TA,10,Typ,0,1952,2,400,N,0,0,0,0,0,0,0,7,2009,COD,Normal,Grvl,TA,TA,No,Unf,Unf,None,Detchd,Unf,TA,TA,None,None,None,2009,124500
60,RL,80,9554,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,8,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,BrkFace,125,Gd,TA,PConc,380,0,397,777,GasA,Ex,Y,SBrkr,1065,846,0,1911,0,0,2,1,3,1,Gd,8,Typ,1,1993,2,471,Y,182,81,0,0,0,0,0,9,2006,WD,Normal,None,Gd,TA,No,GLQ,Unf,TA,Attchd,RFn,TA,TA,None,None,None,2006,215000
20,FV,75,7862,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,27,0,1191,1218,GasA,Ex,Y,SBrkr,1218,0,0,1218,0,0,2,0,2,1,Gd,4,Typ,0,2009,2,676,Y,0,102,0,0,0,0,0,9,2009,New,Partial,None,Gd,TA,No,GLQ,Unf,None,Attchd,Fin,TA,TA,None,None,None,2009,208300
70,RM,60,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2005,Gambrel,CompShg,MetalSd,MetalSd,None,0,TA,Ex,BrkTil,141,0,548,689,GasA,Ex,Y,SBrkr,689,689,0,1378,0,0,2,0,3,1,Gd,7,Typ,1,1928,2,360,N,0,0,116,0,0,0,0,10,2008,WD,Normal,None,TA,TA,No,Rec,Unf,Gd,Detchd,Unf,TA,TA,None,None,None,2008,161000
20,RL,80,9600,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,MetalSd,MetalSd,BrkFace,132,TA,TA,CBlock,991,0,50,1041,GasA,Ex,Y,SBrkr,1041,0,0,1041,1,0,1,0,3,1,TA,6,Typ,0,1959,1,270,Y,224,88,0,0,0,0,0,7,2009,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Attchd,RFn,TA,TA,None,MnPrv,None,2009,124500
20,RL,75,14559,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70,Gd,TA,CBlock,650,180,178,1008,GasA,Ex,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,6,Min1,2,1951,1,288,Y,324,42,0,0,168,0,2000,6,2009,WD,Normal,None,TA,TA,No,BLQ,Rec,TA,CarPort,Unf,TA,TA,None,None,Shed,2009,164900
120,RL,40,6792,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,94,Gd,TA,PConc,0,0,1368,1368,GasA,Ex,Y,SBrkr,1368,0,0,1368,0,0,2,0,2,1,Gd,6,Typ,1,2005,2,474,Y,132,35,0,0,0,0,0,3,2006,New,Partial,None,Gd,TA,No,Unf,Unf,Gd,Attchd,RFn,TA,TA,None,None,None,2006,202665
20,RL,70,9100,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,521,174,169,864,GasA,TA,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,TA,5,Typ,0,1964,2,624,Y,0,0,0,0,0,0,0,7,2006,WD,Normal,None,TA,TA,No,BLQ,LwQ,None,Detchd,Unf,TA,TA,None,None,None,2006,129900
20,RL,71,9187,Pave,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,PConc,336,0,748,1084,GasA,TA,Y,SBrkr,1080,0,0,1080,0,0,1,1,3,1,TA,5,Typ,0,1983,2,484,Y,120,0,158,0,0,0,0,6,2007,WD,Normal,None,TA,TA,No,ALQ,Unf,None,Attchd,Unf,TA,TA,None,None,None,2007,134000
45,RL,55,10594,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,0,0,768,768,Grav,Fa,N,SBrkr,789,0,0,789,0,0,1,0,2,1,TA,5,Typ,0,1926,1,200,Y,0,0,112,0,0,0,0,6,2007,WD,Normal,None,TA,TA,No,Unf,Unf,None,Detchd,Unf,Po,Po,None,MnPrv,None,2007,96500
20,RL,94,12220,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2009,2009,Hip,CompShg,CemntBd,CmentBd,BrkFace,305,Ex,TA,CBlock,1436,0,570,2006,GasA,Ex,Y,SBrkr,2020,0,0,2020,1,0,2,1,3,1,Ex,9,Typ,1,2009,3,900,Y,156,54,0,0,0,0,0,9,2009,New,Partial,None,Ex,TA,No,GLQ,Unf,Gd,Attchd,Fin,TA,TA,None,None,None,2009,402861
80,RL,97,10448,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,333,TA,TA,CBlock,0,0,689,689,GasA,TA,Y,SBrkr,1378,741,0,2119,0,0,2,1,3,1,TA,7,Typ,1,1972,2,583,Y,0,104,0,0,0,0,0,8,2009,COD,Abnorml,None,TA,TA,No,Unf,Unf,TA,Attchd,RFn,TA,TA,None,GdPrv,None,2009,158000
60,RL,79,10208,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,921,Gd,TA,PConc,0,0,1264,1264,GasA,Ex,Y,SBrkr,1277,1067,0,2344,0,0,2,1,3,1,Gd,7,Typ,1,1996,3,889,Y,220,0,0,0,0,0,0,7,2009,WD,Normal,None,Gd,TA,No,Unf,Unf,TA,Attchd,RFn,TA,TA,None,None,None,2009,265000
60,RL,41,9531,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,706,0,88,794,GasA,Ex,Y,SBrkr,882,914,0,1796,1,0,2,1,3,1,TA,7,Typ,0,1998,2,546,Y,0,36,0,0,0,0,0,5,2007,WD,Normal,None,Gd,TA,Mn,GLQ,Unf,None,Attchd,RFn,TA,TA,None,MnPrv,None,2007,211000
70,RL,53,10918,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,9,1926,2004,Gambrel,CompShg,MetalSd,MetalSd,None,0,Gd,TA,BrkTil,0,0,1276,1276,GasA,Ex,Y,SBrkr,1276,804,0,2080,0,0,1,1,3,1,Gd,9,Typ,2,1926,1,282,Y,0,0,0,0,145,0,0,6,2009,WD,Normal,None,Gd,TA,No,Unf,Unf,Gd,Detchd,Unf,TA,TA,None,MnPrv,None,2009,234000
190,RL,60,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,7,1900,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,0,0,0,0,GasA,TA,N,FuseA,694,600,0,1294,0,0,2,0,3,2,TA,7,Typ,0,0,0,0,N,220,114,210,0,0,0,0,8,2008,WD,Normal,Grvl,None,None,None,None,None,None,None,None,None,None,None,None,None,2008,106250
20,RL,90,11988,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1957,1957,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,777,0,467,1244,GasA,Ex,Y,FuseA,1244,0,0,1244,0,0,1,1,3,1,TA,6,Typ,2,1957,1,336,Y,0,40,0,0,0,0,0,5,2007,WD,Normal,None,TA,TA,No,Rec,Unf,Gd,Attchd,Unf,TA,TA,None,None,None,2007,150000
50,RM,50,5000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0,TA,Gd,CBlock,399,0,605,1004,GasA,Ex,Y,SBrkr,1004,660,0,1664,0,0,2,0,3,1,TA,7,Typ,2,1950,2,420,Y,0,24,36,0,0,0,0,10,2006,WD,Normal,None,TA,TA,No,ALQ,Unf,Gd,Detchd,Unf,TA,TA,None,None,None,2006,159000
60,RL,130,40094,Pave,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,762,Ex,TA,PConc,2260,0,878,3138,GasA,Ex,Y,SBrkr,3138,1538,0,4676,1,0,3,1,3,1,Ex,11,Typ,1,2007,3,884,Y,208,406,0,0,0,0,0,10,2007,New,Partial,None,Ex,TA,Gd,GLQ,Unf,Gd,BuiltIn,Fin,TA,TA,None,None,None,2007,184750
60,RL,95,11787,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,594,Gd,TA,PConc,719,0,660,1379,GasA,Ex,Y,SBrkr,1383,1015,0,2398,1,0,2,1,3,1,Gd,8,Typ,1,1996,3,834,Y,239,60,0,0,0,0,0,8,2007,WD,Normal,None,Gd,TA,No,GLQ,Unf,TA,Attchd,Fin,TA,TA,None,None,None,2007,315750
20,FV,62,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,0,0,1257,1257,GasA,Ex,Y,SBrkr,1266,0,0,1266,0,0,2,0,3,1,Gd,6,Typ,1,2005,2,453,Y,38,144,0,0,0,0,0,4,2006,WD,Normal,Pave,Gd,TA,No,Unf,Unf,TA,Attchd,Unf,TA,TA,None,None,None,2006,176000
20,RL,70,13300,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,377,0,551,928,GasA,TA,Y,SBrkr,928,0,0,928,0,0,1,0,2,1,TA,4,Typ,0,1956,1,252,Y,261,0,156,0,0,0,0,6,2007,WD,Normal,None,Gd,TA,No,Rec,Unf,None,Attchd,Unf,TA,TA,None,None,None,2007,132000
60,RL,67,14948,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,268,Ex,TA,PConc,1330,0,122,1452,GasA,Ex,Y,SBrkr,1476,1237,0,2713,1,0,2,1,3,1,Ex,11,Typ,1,2008,3,858,Y,126,66,0,0,0,0,0,11,2008,New,Partial,None,Ex,TA,Av,GLQ,Unf,Gd,Attchd,Fin,TA,TA,None,None,None,2008,446261
30,RL,58,9098,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,7,1920,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,348,0,180,528,GasA,Ex,Y,SBrkr,605,0,0,605,1,0,1,0,2,1,TA,5,Typ,0,0,0,0,N,0,0,144,0,0,0,0,7,2007,WD,Normal,None,TA,TA,Mn,ALQ,Unf,None,None,None,None,None,None,None,None,2007,86000
20,RL,56,32668,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,3,1957,1975,Hip,CompShg,Wd Sdng,Stone,Stone,748,Gd,TA,PConc,1219,0,816,2035,GasA,TA,Y,SBrkr,2515,0,0,2515,1,0,3,0,4,2,TA,9,Maj1,2,1975,2,484,Y,0,0,200,0,0,0,0,3,2007,WD,Alloca,None,TA,TA,No,Rec,Unf,TA,Attchd,RFn,TA,TA,None,None,None,2007,200624
80,RL,85,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,BrkFace,219,Gd,TA,CBlock,783,0,678,1461,GasA,Ex,Y,SBrkr,1509,0,0,1509,1,0,2,0,3,1,Gd,5,Typ,1,1988,2,600,Y,224,0,0,0,0,0,0,8,2008,WD,Abnorml,None,Gd,TA,Av,GLQ,Unf,Fa,Attchd,RFn,TA,TA,None,None,None,2008,175000
70,RM,60,6155,Pave,IR1,Lvl,AllPub,FR3,Gtl,BrkSide,RRNn,Feedr,1Fam,2Story,6,8,1920,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,0,0,611,611,GasA,Ex,Y,SBrkr,751,611,0,1362,0,0,2,0,3,1,TA,6,Typ,0,1920,2,502,Y,0,0,84,0,0,0,0,6,2008,WD,Normal,None,Fa,Fa,Mn,Unf,Unf,None,Detchd,Fin,TA,Fa,None,None,None,2008,128000
